,,Date,Duration,End Date,Magazine,Title,Circulation,Average words per sentence,Vocabulary density,Average words per sentence (Short story version),Vocabulary density  ( Short story version),Word Count
1931,27-Mar,1931-03-27,1,3/28/1931,American Caravan,Ad Astra,,11.20,0.214,,,7227
1930,July,1930-07-15,1,7/16/1930,American Mercury,Honor,64338,13.00, 0.207,,,4654
1931,March,1931-03-15,1,3/16/1931,American Mercury,That Evening Sun,47199,8.50,0.141,NO OCR,NO OCR,6186
1931,May,1931-05-15,1,5/16/1931,American Mercury,Hair,43733,14.80,0.171,,,5739
1932,February,1932-02-15,1,2/16/1932,American Mercury,Centaur in Brass,43177,19.50, 0.216,,,6790
1940,November,1940-11-15,1,11/16/1940,Atlantic,Gold is not Always,101164,,,,,
1936,January,1936-01-15,1,1/16/1936,College Life,Two Dollar Wife,,,,,,
1940,22-Jun,1940-06-22,1,6/23/1940,Collier's,A Point of Law,2780342,,,,,
1941,25-Jan,1941-01-25,1,1/26/1941,Collier's,"Go Down, Moses",2904122,,,,,
1932,1-Feb,1932-02-01,1,2/2/1932,Contempo,Once Aboard the Lugger,,,,,,
1946,June,1946-06-15,1,6/16/1946,Ellery Queen's Mystery Magazine,An Error in Chemistry,,,,,,
1930,30-Apr,1930-04-30,1,5/1/1930,Forum,A Rose for Emily,84743,19.00,0.289,NO OCR,NO OCR,3725
1947,Summer,1947-07-01,1,7/2/1947,Furioso,Afternoon of a Cow,,,,,,
1931,August,1931-08-15,1,8/16/1931,Harper's,The Hound,104441,,,NO OCR,NO OCR,
1931,September,1931-09-15,1,11582,Harper's,Fox Hunt,113493,13.7,0.181,NO OCR,NO OCR,6845
1931,November,1931-11-15,1,11/16/1931,Harper's,Doctor Martino,119417,10.70,0.166,NO OCR,NO OCR,6870
1932,April,1932-04-15,1,4/16/1932,Harper's,Smoke,105125,,,,,
1939,June,1939-06-15,1,14412,Harper's,Barn Burning,100076,20.3,0.212,NO OCR,NO OCR,7813
1940,September,1940-09-15,1,9/16/1940,Harper's,The Old People,105507,,,NO OCR,NO OCR,
1940,October,1940-10-15,1,10/16/1940,Harper's,Pantaloon in Black,113115,,,NO OCR,NO OCR,
1954,December,1954-12-01,1,12/2/1954,Harper's,Sepulture South: Gaslight,179663,,,,,
1955,October,1955-10-15,1,10/16/1955,Mademoiselle,By the People,464776,,,,,
1930,25-Oct,1930-10-25,1,10/26/1930,Saturday Evening Post,Red Leaves,2927413,13.30,0.193,,,9126
1930,6-Sep,1930-09-06,1,9/7/1930,Saturday Evening Post,Thrift,2826621,,,,,
1932,5-Mar,1932-03-05,1,3/6/1932,Saturday Evening Post,Turnabout,3173439,9.00, 0.183,NO OCR,NO OCR,10599
1932,27-Feb,1932-02-27,1,2/28/1932,Saturday Evening Post,Lizards in Jamshyd's Courtyard,3081984,,,NO OCR,NO OCR,
1932,3-Dec,1932-12-03,1,12/4/1932,Saturday Evening Post,A Mountain Victory,2887959,10.60, 0.174,NO OCR,NO OCR,10336
1936,14-Nov,1936-11-14,1,11/15/1936,Saturday Evening Post,The Unvanquished,3061679,,,NO OCR,NO OCR,
1936,5-Dec,1936-12-05,1,12/6/1936,Saturday Evening Post,Vendee,3089852,,,NO OCR,NO OCR,
1939,4-Nov,1939-11-04,1,11/5/1939,Saturday Evening Post,Hand Upon the Waters,3200891,,,NO OCR,NO OCR,
1940,23-Nov,1940-11-23,1,11/24/1940,Saturday Evening Post,Tomorrow,3299908,,,NO OCR,NO OCR,
1941,31-May,1941-05-31,1,6/1/1941,Saturday Evening Post,The Tall Men,3294050,16.00,0.216,NO OCR,NO OCR,5408
1942,28-Mar,1942-03-28,1,3/29/1942,Saturday Evening Post,Two Soldiers,3736021,12.30,0.143,,,6523
1942,9-May,1942-05-09,1,5/10/1942,Saturday Evening Post,The Bear,3101028,,,NO OCR,NO OCR,
1943,13-Feb,1943-02-13,1,2/14/1943,Saturday Evening Post,Shingles for the Lord,3440010,17.80,0.175,NO OCR,NO OCR,5930
1955,5-Mar,1955-03-05,1,3/6/1955,Saturday Evening Post,Race at Morning,4684788,,,NO OCR,NO OCR,
1930,1-May,1930-05-01,1,5/2/1930,Scribner's,Dry September,70136,11.00,0.264,There are two Dry September circulations. This data is from the colllected short stories folder. Please check. ,,4431
1931,January,1931-01-15,1,1/16/1931,Scribner's,Dry September,66529,,,,,
1931,June,1931-06-15,1,6/16/1931,Scribner's,Spotted Horses,61778,,,,,
1932,January,1932-01-15,1,1/16/1932,Scribner's,Death Drag,66781,11.20,0.186,,,12054
1933,January,1933-01-15,1,1/16/1933,Scribner's,There was a Queen,50745,12.00,0.184,,,5849
1936,January,1936-01-15,1,1/16/1936,Scribner's,The Brooch,48613,13.80, 0.207,,,6086
1936,August,1936-08-15,1,8/16/1936,Scribner's,Fool about a Horse,42588,,,,,
1948,Autumn,1948-10-31,1,11/1/1948,Sewanee Review,A Courtship,, 26.6,0.158,,,6655
1942,May-June,1942-06-01,1,6/2/1942,Story,Delta Autumn,,,,,,
1943,March-April,1943-04-01,1,4/2/1943,Story,My Grandmother Millard,,15.50,0.140,,,11374
1943,July-August,1943-08-01,1,8/2/1943,Story,Shall not Perish,,22.40,0.196,,,5114
